id;name;hire_date;end_date;salary
1;calculate networks;2024-10-28;2024-10-28;40170
2;modular Concrete Dale;2024-10-28;2024-10-28;32002
3;Wooden interfaces;2024-10-28;2024-10-28;97958
4;Small Indiana Sleek;2024-10-28;2024-10-28;65309
5;Switchable dot-com;2024-10-28;2024-10-28;18713
6;orchestrate Global Germany;2024-10-28;2024-10-28;746
7;Singapore;2024-10-28;2024-10-28;49171
8;Wooden Music;2024-10-28;2024-10-28;95916
9;alarm;2024-10-28;2024-10-28;33070
10;Accounts Concrete Account;2024-10-28;2024-10-28;41375
